face_label,face_encoding,matched_shots,count,matched_videos,vid_appearance_count
face_66,"[-0.05128735  0.08965585  0.00502912 -0.02161719 -0.13548592  0.00271536
 -0.03170165 -0.13165854  0.22550943 -0.13073054  0.22066073  0.00942038
 -0.22870228  0.03088069 -0.05681733  0.11672245 -0.16207719 -0.10348924
 -0.10023703 -0.03220414 -0.01851814 -0.04911973 -0.00080329  0.05439024
 -0.16576174 -0.36345643 -0.11582785 -0.10668826  0.11858457 -0.06577672
 -0.03053737  0.02404726 -0.16251183 -0.09863509  0.05024848  0.0601272
 -0.04537281 -0.01269756  0.22684743  0.05933482 -0.18682444  0.01109293
  0.03337586  0.29624367  0.17055085  0.08470917  0.1295426  -0.08494245
  0.11140019 -0.27173343  0.02850136  0.12668437  0.11452474  0.06160933
  0.0982293  -0.12984331 -0.02723989  0.120563   -0.17752622  0.16785234
  0.11685567  0.00950735 -0.02201158 -0.00226576  0.28911248  0.0803998
 -0.1555834  -0.08657287  0.20207727 -0.22052491 -0.03946965  0.04906234
 -0.06645609 -0.2032766  -0.26743338 -0.00634177  0.50926381  0.20925538
 -0.13785465  0.00585284 -0.14400524 -0.06607895  0.0662657   0.06038668
 -0.04522661  0.01668075 -0.03541423  0.03251934  0.30130497 -0.00268757
  0.01068801  0.24996746  0.01536073  0.01950108 -0.01724962  0.05852289
 -0.14845668 -0.07904989 -0.11691242 -0.05697048  0.0193475  -0.0394164
  0.06747333  0.09009128 -0.22457618  0.17764613 -0.04052933 -0.02316091
  0.01971821  0.08632302 -0.14650999 -0.04573017  0.2198703  -0.29346523
  0.19792402  0.21427988  0.02297888  0.06817254  0.07758324 -0.01466148
  0.05812456 -0.01750873 -0.10358958 -0.14665794 -0.03912326 -0.11477461
  0.06511579 -0.01508205]","['7291324555233103106.mp4_scene_1', '7289130085691493633.mp4_scene_1']",2,"['7291324555233103106', '7289130085691493633']",2
face_3,"[-0.12722999  0.01232189  0.03929443 -0.09106623 -0.05785267 -0.06230381
  0.0583415  -0.0482492   0.17170501 -0.07891612  0.15856294 -0.06098697
 -0.22170052 -0.02836629 -0.06567861  0.1435132  -0.102217   -0.20560348
 -0.02977096 -0.11187964  0.08415517 -0.03387951 -0.10439683  0.10932525
 -0.17629404 -0.25262234 -0.09561834 -0.13582999 -0.0908137  -0.12541635
  0.00653718  0.01406919 -0.21558419 -0.05377788 -0.00737102  0.05902585
  0.0612826  -0.01511824  0.11543436  0.03553728 -0.14854801  0.018764
  0.11511841  0.31110314  0.08964947  0.07624044 -0.00957834  0.03818138
  0.12217284 -0.29121873  0.10255291  0.06723185  0.14209884  0.04319371
  0.05220192 -0.16263372 -0.00951326  0.11973913 -0.19648337  0.16541168
  0.07333843 -0.04157307 -0.07815992 -0.0523895   0.20286778  0.16091812
 -0.14604709 -0.02531917  0.1412137  -0.16096219 -0.03203123 -0.06262098
 -0.12212455 -0.13886988 -0.28339988  0.08447528  0.37156534  0.11053506
 -0.14898743  0.00135336 -0.06151787  0.13725096  0.04398099 -0.02755578
 -0.10270641  0.05168022 -0.08514723  0.08092034  0.18156683  0.03666803
 -0.00648296  0.17185593 -0.06943163 -0.00814626 -0.00841337  0.06697819
 -0.07030068 -0.04449776 -0.09286731  0.07043791  0.01540007 -0.08920424
 -0.00573391  0.09755567 -0.22965738  0.05308764 -0.01390326 -0.03518024
 -0.1010112   0.13853207 -0.1379143  -0.02151032  0.08387114 -0.19307388
  0.19651639  0.20325503 -0.03454178  0.09915816  0.01767601 -0.00807326
  0.00918314 -0.04336419 -0.12731336 -0.09281325  0.07178716 -0.0206094
  0.06116121  0.05061356]","['7295071098247318786.mp4_scene_1', '7295071098247318786.mp4_scene_2', '7295071098247318786.mp4_scene_3', '7295696458861317377.mp4_scene_13']",4,"['7295696458861317377', '7295071098247318786']",2
face_16,"[-0.17106329  0.08092941  0.08774374 -0.04549415 -0.01103736 -0.0798685
 -0.00311932 -0.05317004  0.09173554 -0.00769585  0.21851826 -0.10884365
 -0.1632126  -0.15565346 -0.00999705  0.11285606 -0.15156944 -0.07735514
 -0.00794281 -0.07014872  0.11596185  0.05435655  0.00265684  0.05983505
 -0.15272331 -0.34636173 -0.07198326 -0.12779416 -0.04135574 -0.05855788
  0.06600937  0.1055354  -0.16839173 -0.00944088  0.00442541  0.10726952
  0.07072371  0.03681837  0.09656162  0.0188579  -0.12038045 -0.01723956
 -0.00693478  0.31015089  0.13099775  0.0659125  -0.01020364 -0.00230892
  0.1266228  -0.30013683  0.11608019  0.10390882  0.04041859  0.01270316
  0.09413564 -0.06543725  0.03226465  0.08923253 -0.22217403  0.05551719
  0.02983758 -0.06096867 -0.06282476 -0.03669115  0.20677915  0.1479077
 -0.12240081 -0.07936881  0.08735083 -0.08926188 -0.03145538  0.08920637
 -0.10286894 -0.13044432 -0.28206566  0.12151703  0.43394876  0.07425935
 -0.22333649  0.00065981 -0.1035292   0.03908387  0.13566393  0.01868795
 -0.05393372  0.00269839 -0.14043126  0.05367908  0.13167468 -0.02186733
 -0.0692928   0.2482211  -0.02692502  0.05015423  0.01213258  0.02309502
 -0.0396682   0.00432741 -0.06534739 -0.03720914  0.15422982 -0.01516879
 -0.04987051  0.08756801 -0.19303975  0.16082111  0.00810002  0.00684071
  0.01376215 -0.03068851 -0.08241271  0.01691614  0.10010053 -0.24447867
  0.16829605  0.100113   -0.01580664  0.15921988  0.00716111  0.02000811
 -0.0164441  -0.08083256 -0.10349492 -0.04499687  0.12684949  0.01408393
  0.00732487 -0.01280274]",['7293863025751133442.mp4_scene_3'],1,['7293863025751133442'],1
face_5,"[-1.91125542e-01  1.80753395e-01  1.08932458e-01 -1.18781783e-01
 -1.20305285e-01  3.60632092e-02 -8.68603289e-02 -7.60979131e-02
  1.02761917e-01 -7.48109743e-02  2.63973713e-01  6.97259605e-03
 -2.21848920e-01 -9.07148793e-02 -1.85834318e-02  1.63925678e-01
 -2.08949670e-01 -1.08626895e-01 -6.15915433e-02 -5.12818322e-02
  1.22289389e-01  7.12297559e-02  1.31729580e-02  3.03686932e-02
 -1.55926228e-01 -3.79081339e-01 -7.55053312e-02 -4.15836424e-02
 -6.44895136e-02 -1.40176132e-01  7.87766278e-02  5.31679019e-03
 -2.24264175e-01 -8.69873166e-03 -2.56717280e-02  7.76474625e-02
  9.83717293e-03 -6.33215159e-03  1.79278880e-01  1.89851131e-02
 -2.01897234e-01  3.81474644e-02  1.19144730e-01  2.17652291e-01
  1.90173209e-01  2.39167549e-02 -2.09985301e-02  1.17949545e-02
  1.29144043e-01 -2.69328088e-01  4.97113280e-02  1.76283717e-01
  1.10318899e-01  5.16932495e-02  3.66588831e-02 -8.55543911e-02
 -3.60935628e-02  1.42684489e-01 -1.95841342e-01  3.71817276e-02
  4.68895957e-02 -1.31018192e-01 -4.51731309e-02 -3.35870460e-02
  1.30771339e-01  1.28750473e-01 -1.19649917e-01 -1.97195232e-01
  8.75581726e-02 -9.87466350e-02 -6.47060126e-02  9.44783911e-02
 -1.36268839e-01 -1.81017429e-01 -2.85765737e-01  8.62555802e-02
  2.96447247e-01  9.84762311e-02 -1.72264874e-01 -1.11519620e-02
 -8.28101784e-02 -3.46304327e-02 -2.78903246e-02  4.36711833e-02
 -4.85328585e-03  7.75784254e-04 -9.11369100e-02  9.38081741e-02
  1.75053656e-01 -1.46606565e-02  6.99000806e-03  3.51510286e-01
  2.04273090e-02  6.36379495e-02 -1.10398671e-02  8.66870061e-02
 -9.77402702e-02 -1.28901117e-02 -1.12608284e-01  5.27100265e-03
  1.02885887e-02 -1.51558649e-02 -9.54493880e-05  9.11921337e-02
 -1.62386313e-01  1.40062779e-01 -4.56915349e-02  2.04562508e-02
 -6.80238530e-02  1.74529850e-03 -1.07800037e-01 -6.60582036e-02
  1.30169064e-01 -1.91132680e-01  1.82790399e-01  1.95120752e-01
 -4.21244055e-02  1.07164450e-01  1.40533358e-01  3.73762771e-02
  2.90061980e-02 -5.22110760e-02 -1.23050079e-01 -6.31909519e-02
  8.31258819e-02 -5.27849644e-02  3.05860639e-02  9.63710994e-03]",['7296082692251208961.mp4_scene_1'],1,['7296082692251208961'],1
face_35,"[-0.08551714  0.10111842  0.05580515 -0.05681646 -0.01257744 -0.0444172
 -0.0921055  -0.0066917   0.23181644 -0.09381478  0.2910248   0.01589339
 -0.16236077 -0.07305698 -0.0299584   0.06631894 -0.09641655 -0.12892623
 -0.04945252 -0.10571038  0.05491348  0.11341696 -0.06297688  0.07027938
 -0.20214891 -0.30950761 -0.05465446 -0.12267891 -0.06006517 -0.11693546
  0.05074022  0.07581082 -0.20106593 -0.0935886   0.03865326  0.06938103
 -0.06661899  0.02265783  0.13578983  0.04796661 -0.11351068  0.03089882
  0.06187307  0.28965253  0.0835454   0.09197712  0.03417765 -0.07847425
  0.11129921 -0.26566601  0.0739297   0.22076795  0.08542384  0.10298639
  0.10183965 -0.10297008  0.02901474  0.12349482 -0.17664611  0.12109534
  0.04383162  0.02023205 -0.02121296  0.02816948  0.177818    0.05611885
 -0.11863305 -0.12654924  0.03509262 -0.1640512  -0.10873501  0.17486055
 -0.06514843 -0.26097777 -0.22820459  0.12986498  0.39018363  0.14910457
 -0.13360459  0.08086611 -0.08110568 -0.09348097  0.0278049   0.00851044
 -0.06638941 -0.00660871 -0.09886128  0.04830913  0.24963541  0.0726916
 -0.00464854  0.2643947   0.00448221  0.03047524 -0.00786672  0.05850873
 -0.14038494 -0.0061965  -0.07908556 -0.06681941  0.06525011  0.04329509
 -0.0646568   0.06167922 -0.18774082  0.19584413 -0.0371889  -0.03559064
 -0.02698042  0.06674579 -0.09460158 -0.06090879  0.11494946 -0.21890673
  0.15042062  0.09572586  0.10462996  0.15661268  0.11265701 -0.01535858
  0.0227852  -0.07449059 -0.13897394 -0.11383999  0.04045928 -0.01663961
  0.0479223  -0.04167092]",['7293266381401754881.mp4_scene_10'],1,['7293266381401754881'],1
face_10,"[-2.84031034e-02  7.25853592e-02  6.32233173e-02 -2.46692374e-02
 -9.24608260e-02 -1.35754310e-02 -5.22710718e-02 -2.51826905e-02
  1.58214092e-01 -4.27690111e-02  1.69553354e-01  8.28089491e-02
 -2.08393812e-01 -3.31573933e-02 -7.08905160e-02  8.75702947e-02
 -1.29031181e-01 -4.31961939e-02 -9.06364173e-02 -1.48440957e-01
 -1.89409703e-02  8.21941867e-02  1.98721699e-02  1.60361379e-02
 -7.28442669e-02 -2.63815165e-01 -4.51566577e-02 -1.07333682e-01
  1.56566843e-01 -1.28171355e-01 -5.98324463e-03 -6.48565590e-03
 -1.00551605e-01 -4.07326221e-03  8.24338198e-03  1.90414935e-02
 -8.31664279e-02 -1.10908926e-01  2.42444739e-01  3.65345180e-02
 -1.21964529e-01 -1.01330280e-02 -1.86247453e-02  2.57732034e-01
  1.98599756e-01  2.94666924e-03  7.97016472e-02 -7.60799348e-02
  2.03251407e-01 -1.98583677e-01  1.03070378e-01  1.72253191e-01
  5.51012754e-02  9.30041671e-02  9.13968608e-02 -2.17766374e-01
 -1.88691318e-02  1.18819639e-01 -1.25128642e-01  1.16457552e-01
  3.87205705e-02 -7.17493743e-02 -2.42254939e-02 -6.78748712e-02
  9.67334509e-02  4.00161929e-02 -1.02619573e-01 -1.39496610e-01
  1.23502381e-01 -2.08702192e-01  2.92047486e-03  8.75982791e-02
 -1.02427244e-01 -1.39500126e-01 -2.28509799e-01  6.32573813e-02
  3.60574484e-01  2.11747229e-01 -1.09456867e-01 -7.69291818e-03
 -4.50672209e-02 -4.65690829e-02  8.62516537e-02  1.00416712e-01
 -8.05093870e-02 -3.52805629e-02 -7.17780590e-02  1.77735537e-02
  1.48991585e-01  5.52907586e-04 -5.95428981e-02  1.63015977e-01
 -1.08995810e-02  5.38009927e-02 -1.64275616e-02  5.34079373e-02
 -1.66794509e-01  6.84731454e-03 -9.01076198e-03  1.44262388e-02
  5.18108532e-02 -1.33946389e-01  5.19503504e-02  4.69049811e-02
 -1.16801560e-01  2.01350346e-01 -1.49658918e-02  4.72838134e-02
  1.25877559e-04  1.02897584e-02 -9.58408341e-02  1.89000517e-02
  2.09403843e-01 -1.81369796e-01  2.72210062e-01  1.54507488e-01
  4.65770662e-02  1.70189977e-01  7.70470798e-02  1.05161548e-01
 -3.99856940e-02 -4.86102179e-02 -8.64045471e-02 -8.33228528e-02
 -7.57564008e-02 -2.35886648e-02  7.22131878e-02  2.42711157e-02]",['7294013493529939201.mp4_scene_7'],1,['7294013493529939201'],1
face_11,"[-2.04394907e-02  1.52989760e-01  9.01892036e-02 -1.03003554e-01
 -1.55522287e-01  1.97150484e-02 -4.74558473e-02 -1.16428889e-01
  2.41262615e-01 -1.09735981e-01  1.76262990e-01  3.75294760e-02
 -2.25328162e-01  4.15326431e-02 -6.14655167e-02  1.67708069e-01
 -1.09612375e-01 -1.05884656e-01 -3.65991369e-02 -4.17342782e-02
  2.25824043e-02  7.67357051e-02  1.53412856e-02  1.43159866e-01
 -1.68329686e-01 -3.59894127e-01 -6.94726035e-02 -3.20870094e-02
 -4.45042811e-02 -9.94061977e-02 -3.59502099e-02  9.10854265e-02
 -1.41149104e-01  4.46322896e-02  6.27388954e-02  7.79273286e-02
 -1.03556484e-01 -5.54583520e-02  1.94381535e-01  1.44701898e-01
 -2.71361351e-01 -5.04675508e-03  2.44403481e-02  2.77478337e-01
  2.68523872e-01 -3.11717801e-02  8.37388933e-02 -1.07691795e-01
  1.73899755e-01 -2.36010104e-01  5.58600947e-02  1.74587637e-01
  7.58183151e-02  3.03543210e-02  1.03897497e-01 -1.45985261e-01
 -5.19723296e-02  1.47262573e-01 -1.81882784e-01 -2.04815418e-02
  8.79053399e-02 -1.24782301e-01 -2.08998024e-02 -7.53723234e-02
  1.56215295e-01  9.28137824e-02 -1.14093058e-01 -1.69046506e-01
  1.79878786e-01 -2.00638413e-01 -4.71146107e-02  1.13596305e-01
 -1.26347139e-01 -1.92040533e-01 -2.65050232e-01  6.17505312e-02
  4.33805406e-01  2.27315068e-01 -1.23996556e-01 -3.56492400e-03
 -9.77780670e-02 -6.37520850e-03  1.33639723e-02  9.26942676e-02
 -2.55728476e-02 -3.67679894e-02 -5.87476455e-02  2.80167758e-02
  1.99495748e-01 -2.10276842e-02  4.88373637e-03  2.21893877e-01
  1.31962448e-02 -3.65376472e-04 -2.93844771e-02  1.64500326e-02
 -2.13721886e-01  2.87106149e-02 -1.32039517e-01 -6.66018948e-02
 -1.35096595e-01 -8.57153907e-04  5.34738600e-02  1.39913291e-01
 -2.69521803e-01  2.15327039e-01 -3.51057276e-02 -1.01621777e-01
 -4.04721349e-02  3.75616699e-02 -1.12759218e-01 -7.50816613e-02
  1.32350594e-01 -2.74593174e-01  1.16146766e-01  1.28282815e-01
  6.63397610e-02  1.47645861e-01  2.95470878e-02  6.45481125e-02
 -4.14894521e-03 -7.34314546e-02 -8.53485763e-02 -5.04371338e-02
  6.33593574e-02 -6.45872504e-02  5.01164347e-02 -5.16255721e-02]",['7295278107102022914.mp4_scene_26'],1,['7295278107102022914'],1
face_13,"[-0.03295257  0.22030263 -0.02060053  0.00688624 -0.02146055  0.01338226
 -0.00141821 -0.12604336  0.18871434 -0.07348046  0.26226559 -0.0374511
 -0.2498908  -0.04467848 -0.03868981  0.11477364 -0.20016524 -0.00314626
 -0.1803086  -0.12094773  0.05153279  0.03203868  0.0569762   0.02280949
 -0.16133922 -0.28342471 -0.07739522 -0.10015845  0.10895996 -0.14105725
  0.04166461 -0.0227546  -0.14469919 -0.05845801 -0.01508571 -0.06158254
 -0.10141443 -0.02337692  0.22017096  0.03073672 -0.18038878  0.02981777
 -0.00235604  0.31899479  0.22058576 -0.00412014  0.01609079 -0.15006448
  0.08370619 -0.24079804  0.02612063  0.18602589  0.05472231  0.09036651
  0.09192015 -0.11653864 -0.02429426  0.16524276 -0.14810438  0.07260259
  0.12648273 -0.10550032 -0.01096462  0.00068583  0.12271962  0.06546077
 -0.12552291 -0.10827591  0.16176377 -0.15912986 -0.02631959  0.02779316
 -0.02911723 -0.25773928 -0.34944218  0.07628235  0.41496995  0.22121231
 -0.17891955  0.00069947 -0.12650816 -0.00187355  0.14013316  0.09022504
 -0.11904724 -0.08089633 -0.0774096   0.04633333  0.13569687 -0.06363983
 -0.03508034  0.24958158  0.00103147 -0.04146273  0.02128018  0.06819402
 -0.22093511 -0.00333467 -0.13217956  0.00231069  0.04115036 -0.12615871
  0.04099257  0.11880321 -0.17354405  0.2221103   0.04800172 -0.06739425
  0.02460678  0.02923675 -0.08721025 -0.02913153  0.18472889 -0.24516071
  0.22310004  0.20000222  0.04023151  0.18140186  0.14232919  0.10857459
 -0.0082446   0.00275497 -0.11554003 -0.08738834 -0.01273965  0.01048894
  0.01352584 -0.02537256]",['7295278107102022914.mp4_scene_26'],1,['7295278107102022914'],1
face_24,"[-0.07240185  0.15449475  0.08004157 -0.07947305 -0.10210352  0.0592829
  0.04935455  0.01109382  0.13344699  0.03476635  0.21549596  0.01648577
 -0.34761983 -0.09274288 -0.02142809  0.08955222 -0.06392456 -0.11508684
 -0.15651889 -0.13719136  0.06038718  0.04053525 -0.03327099 -0.02153419
 -0.1809005  -0.28398299 -0.0146182  -0.12690619  0.04162431 -0.25055116
  0.03517956  0.06654622 -0.15200625 -0.03483383  0.01824974  0.01925292
 -0.0422805  -0.06825772  0.18895492 -0.00941412 -0.1258368   0.09572138
  0.00861949  0.27327967  0.20506896 -0.00039156  0.00222788 -0.07958494
  0.10386437 -0.27601516  0.07400738  0.1900094   0.04023298  0.09130426
  0.08292259 -0.1617263  -0.0266045   0.13944118 -0.26372233  0.08078994
  0.03191273 -0.16653985 -0.18047711 -0.16699746  0.09451262  0.08857624
 -0.15140663 -0.14157625  0.17388253 -0.16349061 -0.03125121  0.04746632
 -0.10682793 -0.12769908 -0.22331516  0.15253283  0.32884645  0.21563326
 -0.25214469  0.03295954 -0.09240126  0.04321821  0.00159571  0.01888487
 -0.08131319 -0.08008206 -0.01773523  0.03982653  0.10290295  0.01205213
 -0.01160669  0.23274508  0.01117948  0.02073729  0.02514492 -0.00560727
 -0.1126568  -0.06749797 -0.08238278  0.00838923  0.02044182 -0.20177887
  0.0075586   0.10036124 -0.16796204  0.192469    0.00800338  0.00206256
  0.01269516 -0.01056826 -0.03512471  0.01486914  0.19182897 -0.32031673
  0.3034915   0.21335399  0.0343065   0.10873231  0.09200591  0.0810986
  0.01548895 -0.01403341 -0.16657865 -0.10197534  0.06013414 -0.0547515
 -0.00713108  0.00890871]",['7293863025751133442.mp4_scene_11'],1,['7293863025751133442'],1
face_14,"[-0.11227236  0.10149188  0.0756593  -0.03143326 -0.04089046 -0.01682983
  0.01065509  0.0016233   0.14271036 -0.03127696  0.19020486 -0.08862447
 -0.23968981 -0.0562185  -0.05303197  0.07316323 -0.16959135 -0.13847509
 -0.12739602 -0.16442427  0.01596155  0.1065665  -0.08500419  0.00293651
 -0.2338492  -0.28351739 -0.08740026 -0.09536049 -0.04725626 -0.16581862
  0.11870527  0.10164819 -0.15731493 -0.02771983  0.0367015   0.00847279
 -0.05539338 -0.07228042  0.14945413 -0.03397562 -0.09071955 -0.0053591
  0.06949779  0.35509199  0.10145491 -0.00215636 -0.08038454 -0.01130435
  0.12237964 -0.25613257  0.03383597  0.2390447   0.02076332  0.11282019
  0.13359708 -0.0322923   0.03177276  0.16258709 -0.18217087  0.03846899
  0.00525083 -0.06541525 -0.01874743 -0.09011399  0.08799386  0.04970101
 -0.10738459 -0.1336529   0.07431171 -0.13136069 -0.0233843   0.13344216
 -0.09401789 -0.19727951 -0.22897513  0.09627429  0.41593087  0.10573008
 -0.13182813  0.00771261 -0.03312412 -0.09401324  0.08241516  0.00307734
 -0.10202254 -0.06893422 -0.08376952  0.14399476  0.21694624  0.02580894
 -0.08422191  0.16502336 -0.0147843  -0.06773451  0.00748388 -0.00719425
 -0.09306788  0.00964934 -0.06243257  0.05312235  0.10598014 -0.0411252
 -0.09547152  0.09903802 -0.06400363  0.17015798  0.07607272 -0.0378763
 -0.06747741 -0.02767764 -0.14199169  0.0240064   0.17094871 -0.26808912
  0.16710761  0.07969308  0.00318228  0.11208714 -0.00061749 -0.01527548
 -0.03950346 -0.05129303 -0.12503734 -0.10523518  0.0998646   0.00250986
  0.04245372 -0.06938387]",['7293863025751133442.mp4_scene_1'],1,['7293863025751133442'],1
face_21,"[-8.49994421e-02  1.10180959e-01  7.71700814e-02  2.12428309e-02
 -7.84110352e-02  4.90722135e-02 -2.48415377e-02 -9.01791602e-02
  1.75512195e-01 -1.74996957e-01  2.41725758e-01  1.06614493e-02
 -1.83575064e-01 -2.58676596e-02  1.51414275e-02  8.84809494e-02
 -7.98018277e-02 -9.76249278e-02 -1.35730743e-01 -3.41635644e-02
 -1.73366982e-02  9.57912952e-02  3.00801620e-02  7.06652030e-02
 -1.58681601e-01 -3.96682441e-01 -7.61469007e-02 -4.93259132e-02
  4.26017009e-02 -9.23320949e-02 -8.61379355e-02  1.15595609e-02
 -1.35975853e-01  4.97698784e-06  2.35171877e-02  6.85421079e-02
 -1.10723823e-01 -4.40835431e-02  1.08745418e-01  7.32310936e-02
 -1.47757679e-01  4.88521606e-02  1.97182298e-02  2.97583580e-01
  1.60782605e-01  5.12125418e-02  7.32105076e-02 -1.51980191e-01
  8.28852206e-02 -2.07046181e-01  2.96003856e-02  1.41891956e-01
  4.32668701e-02  6.85142577e-02  1.25361338e-01 -1.10136047e-01
 -2.64719725e-02  1.12413481e-01 -1.34243518e-01  1.24276862e-01
  2.08515152e-02  3.74618359e-02 -3.95542309e-02 -3.89308631e-02
  1.88505784e-01  8.52686614e-02 -1.20045952e-01 -1.55454665e-01
  6.64728284e-02 -2.17584431e-01 -5.39325885e-02  1.29554048e-01
 -7.53007680e-02 -2.45694071e-01 -1.81958795e-01  5.82213700e-02
  4.36161160e-01  1.86912090e-01 -1.47236526e-01 -8.43059272e-03
 -7.30866715e-02 -1.03682935e-01  5.47311753e-02  9.07752067e-02
 -1.02715895e-01 -3.34940478e-02 -8.41667578e-02  7.81187415e-02
  2.50797182e-01  3.76918912e-02  1.65497661e-02  2.68663168e-01
  3.08229364e-02 -4.44079712e-02  2.18238868e-03  2.77799368e-02
 -1.94859385e-01  1.41209513e-02 -1.02575466e-01 -1.27646670e-01
  4.68830094e-02 -7.36963898e-02  5.20179421e-03  6.68600425e-02
 -2.35418305e-01  2.43799210e-01 -3.45089138e-02 -3.81289944e-02
  1.10570684e-01  3.01170498e-02 -1.38632834e-01 -2.69310027e-02
  1.51035041e-01 -2.70577222e-01  1.12738088e-01  1.61978528e-01
  1.39188886e-01  1.35355324e-01  6.77566975e-02  4.86583486e-02
  7.68847764e-03  2.33893618e-02 -1.16581768e-01 -6.12296388e-02
  1.76758543e-02 -8.19985271e-02  3.14047933e-02 -5.51181659e-02]",['7293863025751133442.mp4_scene_8'],1,['7293863025751133442'],1
face_68,"[-0.08751091  0.08808345  0.04486012 -0.06187878 -0.07641171  0.02687483
 -0.05271145 -0.10913791  0.19901688 -0.24852818  0.16243617 -0.04822599
 -0.2193086   0.12112479 -0.07620978  0.15646453 -0.12918471 -0.19195518
 -0.09949743 -0.11861488  0.00384585  0.03673469 -0.05161127  0.10166743
 -0.15789935 -0.28390428 -0.03020259 -0.07527623  0.03796895 -0.0395481
 -0.02391126  0.08475898 -0.14225835  0.10815345  0.03401724  0.12636606
 -0.01674648 -0.05721439  0.25365868  0.05461695 -0.24310477  0.08888336
  0.01955119  0.30018494  0.15400596 -0.0157999   0.04160248 -0.08106391
  0.17797589 -0.24920747  0.01583781  0.223481    0.12164056  0.05748331
  0.03051376 -0.15141237  0.01344949  0.08837123 -0.18956321  0.0503938
  0.11350847 -0.06158035 -0.01684587 -0.05728167  0.20557597  0.11148963
 -0.17421517 -0.11566135  0.18217295 -0.22841693 -0.02908093  0.08218578
 -0.15176421 -0.20553091 -0.19156544  0.07403392  0.44975132  0.22811767
 -0.09369892  0.08927948 -0.01680974 -0.02097377  0.04479367  0.16987655
 -0.08613589 -0.00695491 -0.00086015  0.06855024  0.2527737   0.02781346
 -0.05087728  0.18433756  0.03617678 -0.03358265 -0.03413232  0.02750214
 -0.12867898 -0.10122793 -0.1164698  -0.01607084 -0.11561064 -0.01538684
 -0.01779822  0.09554228 -0.2073867   0.21765843 -0.08624507 -0.0725058
 -0.05189194  0.14377055 -0.05872544 -0.03827867  0.11604943 -0.2388024
  0.10195107  0.16942526  0.10013908  0.13527468  0.0782624   0.05821525
  0.06235446  0.03721717 -0.15925699 -0.17237753  0.03821762 -0.02955197
  0.08485161 -0.00290576]",['7290759066526207233.mp4_scene_1'],1,['7290759066526207233'],1
face_17,"[-0.20420139  0.1926506   0.07085104 -0.06253666 -0.12662347  0.03122306
 -0.0008809  -0.0204512   0.15054142  0.05960185  0.20616592 -0.03039197
 -0.23511738 -0.08114508 -0.08784253  0.14667441 -0.17731692 -0.08746994
 -0.07121082 -0.03606616  0.13693269  0.04477368 -0.0211601   0.02707802
 -0.08450013 -0.28658766 -0.02014961 -0.13638508  0.05506052 -0.14125015
  0.032983   -0.07747559 -0.15485996 -0.07014735 -0.02359313  0.07726453
 -0.03847168 -0.05680718  0.11878099 -0.00699233 -0.17221719  0.03625558
  0.08016099  0.29083884  0.13345173  0.05595442 -0.03711388 -0.0655313
  0.14950526 -0.3219986   0.12033542  0.13987976  0.16663963  0.06227031
  0.15631753 -0.17120743  0.06562525  0.13312832 -0.26472071  0.0841441
  0.07405177  0.08806056  0.01235156 -0.06542867  0.1372004   0.18428078
 -0.08326121 -0.10222922  0.11521918 -0.11660948 -0.01944261  0.08800666
 -0.09610613 -0.17322746 -0.2852121   0.05018641  0.37793905  0.15017346
 -0.17036662 -0.1098469  -0.06300189  0.02930667  0.06784543 -0.03962234
 -0.14599179 -0.05352701 -0.12883046  0.02109894  0.12020043 -0.01616689
  0.00057821  0.2500653   0.08464129 -0.02164068 -0.02550954  0.05195501
 -0.07054114  0.02106379 -0.09904984  0.02113064  0.01209976 -0.1167051
  0.00417632  0.0991288  -0.21525662  0.05624679  0.04750202 -0.00093998
 -0.06846368  0.00742853 -0.11363015  0.02581587  0.16881026 -0.2005474
  0.25031316  0.1924323  -0.00132987  0.05958354  0.04768298 -0.00111866
  0.00078426 -0.08854076 -0.09147452 -0.03358908  0.02217621 -0.1005969
 -0.05497923  0.05739154]",['7293863025751133442.mp4_scene_4'],1,['7293863025751133442'],1
